id_contrato,id_cliente,valor_contrato,saldo_devedor,data_contratacao,prazo_meses,status_contrato,data_carga
30,66,36183.07,30706.92,2024-04-08,48,liquidado,2025-03-28 18:36:55.490957
31,234,76338.09,24788.35,2024-07-01,12,liquidado,2025-03-28 18:36:55.490957
32,14,75205.0,62500.88,2023-07-14,48,inadimplente,2025-03-28 18:36:55.490957
33,912,15739.92,8089.11,2025-01-20,36,ativo,2025-03-28 18:36:55.490957
34,698,37462.64,23003.09,2024-03-24,48,liquidado,2025-03-28 18:36:55.490957
35,536,22503.7,8922.18,2023-07-27,60,liquidado,2025-03-28 18:36:55.490957
36,1000,18658.89,5977.37,2021-05-22,48,ativo,2025-03-28 18:36:55.490957
37,941,10206.07,7264.08,2024-05-28,48,ativo,2025-03-28 18:36:55.490957
38,526,72617.07,27078.63,2025-03-05,24,inadimplente,2025-03-28 18:36:55.490957
39,500,56505.35,40821.8,2021-06-27,24,liquidado,2025-03-28 18:36:55.490957
40,594,60612.42,19156.74,2022-08-30,36,ativo,2025-03-28 18:36:55.490957
41,319,8628.77,2942.29,2024-04-21,60,liquidado,2025-03-28 18:36:55.490957
42,314,71060.41,60545.63,2020-09-23,36,ativo,2025-03-28 18:36:55.490957
43,740,13115.3,10687.05,2025-02-11,12,liquidado,2025-03-28 18:36:55.490957
44,831,22840.58,16416.84,2023-05-10,36,inadimplente,2025-03-28 18:36:55.490957
45,971,73627.97,37521.58,2022-10-27,12,ativo,2025-03-28 18:36:55.490957
46,198,63981.56,54381.52,2023-08-22,36,inadimplente,2025-03-28 18:36:55.490957
47,710,99121.52,81582.33,2022-07-13,12,liquidado,2025-03-28 18:36:55.490957
48,400,21090.7,14676.7,2023-08-24,24,liquidado,2025-03-28 18:36:55.490957
49,771,3593.47,1138.89,2022-04-01,60,liquidado,2025-03-28 18:36:55.490957
50,849,93032.08,78873.28,2023-03-04,36,liquidado,2025-03-28 18:36:55.490957
51,547,43536.02,39657.45,2024-05-26,60,ativo,2025-03-28 18:36:55.490957
52,980,80461.69,49945.05,2020-08-07,60,liquidado,2025-03-28 18:36:55.490957
53,602,8979.55,7269.46,2022-07-27,24,inadimplente,2025-03-28 18:36:55.490957
54,641,78241.09,23857.31,2022-09-16,12,liquidado,2025-03-28 18:36:55.490957
55,686,61412.29,24242.37,2021-10-12,48,ativo,2025-03-28 18:36:55.490957
56,548,2326.86,1158.59,2020-11-11,24,liquidado,2025-03-28 18:36:55.490957
57,342,26908.86,12724.8,2022-07-20,48,liquidado,2025-03-28 18:36:55.490957
58,632,97508.63,54589.72,2023-03-22,24,ativo,2025-03-28 18:36:55.490957
59,205,27545.76,11279.09,2022-08-28,48,inadimplente,2025-03-28 18:36:55.490957
60,596,62350.24,43233.34,2022-02-05,60,liquidado,2025-03-28 18:36:55.490957
61,929,77413.91,27907.5,2021-04-15,24,inadimplente,2025-03-28 18:36:55.490957
62,148,13670.83,12542.92,2021-07-31,60,liquidado,2025-03-28 18:36:55.490957
63,666,42460.54,20470.67,2022-01-10,12,ativo,2025-03-28 18:36:55.490957
64,314,97975.53,39334.78,2024-08-19,24,ativo,2025-03-28 18:36:55.490957
65,984,34488.05,17798.91,2024-10-10,60,ativo,2025-03-28 18:36:55.490957
66,445,12295.48,4990.4,2024-03-22,48,inadimplente,2025-03-28 18:36:55.490957
67,490,9795.18,7626.8,2023-10-29,12,ativo,2025-03-28 18:36:55.490957
68,664,12362.12,11151.84,2023-06-30,24,inadimplente,2025-03-28 18:36:55.490957
69,681,79378.3,54309.61,2023-02-07,24,liquidado,2025-03-28 18:36:55.490957
70,494,46371.76,29644.88,2021-06-10,60,ativo,2025-03-28 18:36:55.490957
71,514,66754.6,30123.9,2021-05-09,24,liquidado,2025-03-28 18:36:55.490957
72,144,41764.79,31560.88,2025-01-16,48,inadimplente,2025-03-28 18:36:55.490957
73,936,12081.66,6635.02,2020-09-03,36,inadimplente,2025-03-28 18:36:55.490957
74,831,50228.34,27015.02,2023-12-05,60,liquidado,2025-03-28 18:36:55.490957
75,383,76084.08,62988.14,2023-06-22,60,inadimplente,2025-03-28 18:36:55.490957
76,726,17000.36,8140.54,2022-07-03,60,ativo,2025-03-28 18:36:55.490957
77,680,98513.98,82792.01,2024-05-30,24,ativo,2025-03-28 18:36:55.490957
78,760,46929.21,43947.05,2023-11-29,12,liquidado,2025-03-28 18:36:55.490957
79,227,11441.9,8692.94,2024-08-25,12,inadimplente,2025-03-28 18:36:55.490957
80,178,10247.39,6238.1,2022-07-10,36,liquidado,2025-03-28 18:36:55.490957
81,8,29426.66,25159.74,2024-11-05,48,ativo,2025-03-28 18:36:55.490957
82,597,31922.56,23937.84,2020-12-10,24,liquidado,2025-03-28 18:36:55.490957
83,828,69894.01,59779.15,2024-02-21,36,ativo,2025-03-28 18:36:55.490957
84,259,89821.45,37563.15,2024-03-01,12,ativo,2025-03-28 18:36:55.490957
85,520,89504.98,67845.2,2023-11-22,36,ativo,2025-03-28 18:36:55.490957
86,260,80060.73,78253.69,2022-04-22,36,ativo,2025-03-28 18:36:55.490957
87,524,74233.3,38880.94,2020-12-18,12,inadimplente,2025-03-28 18:36:55.490957
88,109,98426.92,75546.99,2022-07-04,60,liquidado,2025-03-28 18:36:55.490957
89,260,99710.74,98299.61,2023-11-11,36,inadimplente,2025-03-28 18:36:55.490957
90,640,2248.14,1555.33,2021-02-02,12,ativo,2025-03-28 18:36:55.490957
91,916,89135.55,31695.23,2022-12-19,60,inadimplente,2025-03-28 18:36:55.490957
92,701,34347.21,17432.68,2020-10-16,24,liquidado,2025-03-28 18:36:55.490957
93,211,76198.66,75562.09,2025-02-16,24,inadimplente,2025-03-28 18:36:55.490957
94,364,46467.25,25578.31,2024-05-17,24,liquidado,2025-03-28 18:36:55.490957
95,131,88102.37,58835.15,2021-01-24,60,liquidado,2025-03-28 18:36:55.490957
96,190,72188.67,42886.07,2020-05-26,24,ativo,2025-03-28 18:36:55.490957
97,307,45584.75,37569.97,2020-08-18,12,inadimplente,2025-03-28 18:36:55.490957
98,176,58147.72,47486.24,2021-02-03,48,inadimplente,2025-03-28 18:36:55.490957
99,862,97931.39,72851.11,2022-08-15,48,ativo,2025-03-28 18:36:55.490957
100,272,11528.03,5999.69,2024-05-14,48,inadimplente,2025-03-28 18:36:55.490957
101,935,17546.07,13312.16,2021-04-01,12,inadimplente,2025-03-28 18:36:55.490957
102,855,8630.72,4645.62,2024-01-10,24,ativo,2025-03-28 18:36:55.490957
103,815,31225.76,14015.72,2023-05-08,36,ativo,2025-03-28 18:36:55.490957
104,629,41422.33,34441.6,2024-06-13,48,ativo,2025-03-28 18:36:55.490957
105,551,80932.21,27627.48,2021-10-28,24,inadimplente,2025-03-28 18:36:55.490957
106,737,87548.45,26276.08,2020-11-24,36,inadimplente,2025-03-28 18:36:55.490957
107,354,45258.5,28162.14,2024-04-27,48,ativo,2025-03-28 18:36:55.490957
108,840,13756.02,8101.37,2021-11-08,36,ativo,2025-03-28 18:36:55.490957
109,281,42722.96,13629.59,2021-11-22,12,inadimplente,2025-03-28 18:36:55.490957
110,622,91166.25,75464.99,2024-05-21,12,ativo,2025-03-28 18:36:55.490957
111,327,62513.11,43223.4,2022-05-03,48,inadimplente,2025-03-28 18:36:55.490957
112,633,28870.6,26299.03,2023-04-08,60,ativo,2025-03-28 18:36:55.490957
113,676,10556.91,4954.63,2023-09-12,12,ativo,2025-03-28 18:36:55.490957
114,654,60237.39,30604.6,2024-05-07,36,liquidado,2025-03-28 18:36:55.490957
115,222,60282.02,20805.97,2021-09-29,48,liquidado,2025-03-28 18:36:55.490957
116,873,33710.39,18145.77,2022-08-29,60,liquidado,2025-03-28 18:36:55.490957
117,881,29243.74,17558.75,2022-02-27,36,liquidado,2025-03-28 18:36:55.490957
118,562,57761.59,43966.83,2021-09-19,48,ativo,2025-03-28 18:36:55.490957
119,963,49349.09,40283.47,2022-03-15,12,ativo,2025-03-28 18:36:55.490957
120,905,67250.83,59214.41,2021-02-12,12,ativo,2025-03-28 18:36:55.490957
121,343,43612.31,22759.63,2022-06-10,48,liquidado,2025-03-28 18:36:55.490957
122,559,14614.85,7871.13,2020-04-14,48,ativo,2025-03-28 18:36:55.490957
123,406,61101.87,45332.41,2023-11-02,48,ativo,2025-03-28 18:36:55.490957
124,669,64320.95,49752.16,2021-09-20,48,liquidado,2025-03-28 18:36:55.490957
125,76,49279.04,37282.4,2022-08-31,24,liquidado,2025-03-28 18:36:55.490957
126,347,74615.8,48827.55,2023-02-26,12,liquidado,2025-03-28 18:36:55.490957
127,913,4936.83,3568.59,2020-12-25,36,inadimplente,2025-03-28 18:36:55.490957
128,380,47494.54,29224.61,2024-05-24,60,ativo,2025-03-28 18:36:55.490957
129,867,20413.67,14851.88,2020-11-10,60,ativo,2025-03-28 18:36:55.490957
130,653,54163.74,48633.36,2024-07-16,12,liquidado,2025-03-28 18:36:55.490957
131,136,4635.41,1741.14,2022-04-02,24,inadimplente,2025-03-28 18:36:55.490957
132,341,44415.31,20118.22,2022-06-09,24,inadimplente,2025-03-28 18:36:55.490957
133,822,93243.62,53886.47,2021-02-17,60,ativo,2025-03-28 18:36:55.490957
134,553,82002.46,55115.46,2024-08-19,36,inadimplente,2025-03-28 18:36:55.490957
135,183,87548.03,56510.73,2023-02-26,36,liquidado,2025-03-28 18:36:55.490957
136,659,45609.1,43355.95,2023-01-10,60,ativo,2025-03-28 18:36:55.490957
137,168,42760.99,25131.26,2021-12-11,60,ativo,2025-03-28 18:36:55.490957
138,109,61182.62,31604.55,2024-08-29,60,liquidado,2025-03-28 18:36:55.490957
139,103,95449.28,76834.32,2024-01-09,12,inadimplente,2025-03-28 18:36:55.490957
140,174,6062.4,2911.92,2022-10-30,12,inadimplente,2025-03-28 18:36:55.490957
141,852,68972.4,26219.26,2024-07-02,12,inadimplente,2025-03-28 18:36:55.490957
142,420,37536.25,14440.85,2021-10-27,48,ativo,2025-03-28 18:36:55.490957
143,737,41019.73,21525.38,2024-02-28,12,inadimplente,2025-03-28 18:36:55.490957
144,770,67188.69,52075.87,2023-03-02,24,inadimplente,2025-03-28 18:36:55.490957
145,843,60270.55,39266.72,2021-10-13,36,liquidado,2025-03-28 18:36:55.490957
146,713,61644.77,56194.7,2022-09-11,48,liquidado,2025-03-28 18:36:55.490957
147,667,74357.14,49893.2,2021-11-27,36,liquidado,2025-03-28 18:36:55.490957
148,296,82181.25,64628.79,2023-10-15,48,inadimplente,2025-03-28 18:36:55.490957
149,235,49114.05,34578.25,2024-06-17,24,ativo,2025-03-28 18:36:55.490957
150,213,80994.24,36547.51,2021-07-07,12,inadimplente,2025-03-28 18:36:55.490957
151,408,65576.87,58489.52,2022-05-17,36,liquidado,2025-03-28 18:36:55.490957
152,420,67623.7,33322.72,2024-09-16,60,liquidado,2025-03-28 18:36:55.490957
153,634,59438.27,27246.23,2022-11-05,36,inadimplente,2025-03-28 18:36:55.490957
154,156,58347.37,48518.51,2025-01-18,36,liquidado,2025-03-28 18:36:55.490957
155,825,3714.61,2136.21,2020-12-23,24,ativo,2025-03-28 18:36:55.490957
156,7,15116.82,13953.85,2025-01-13,12,inadimplente,2025-03-28 18:36:55.490957
157,148,34637.11,22932.11,2022-05-11,24,inadimplente,2025-03-28 18:36:55.490957
158,427,39201.58,33486.15,2022-06-24,36,ativo,2025-03-28 18:36:55.490957
159,881,68034.94,49260.39,2021-05-12,24,liquidado,2025-03-28 18:36:55.490957
160,833,11420.66,4764.15,2022-08-13,24,ativo,2025-03-28 18:36:55.490957
161,926,3726.14,2436.22,2023-12-10,36,ativo,2025-03-28 18:36:55.490957
162,772,10830.92,4832.81,2020-10-23,36,inadimplente,2025-03-28 18:36:55.490957
163,234,40147.99,20846.62,2022-07-16,60,inadimplente,2025-03-28 18:36:55.490957
164,245,29635.23,27562.49,2023-04-18,60,ativo,2025-03-28 18:36:55.490957
165,170,38105.55,24075.26,2021-08-15,48,liquidado,2025-03-28 18:36:55.490957
166,201,98417.3,49394.05,2022-01-09,48,ativo,2025-03-28 18:36:55.490957
167,109,97103.47,81710.36,2025-01-10,60,ativo,2025-03-28 18:36:55.490957
168,489,55817.44,37910.84,2020-11-28,60,inadimplente,2025-03-28 18:36:55.490957
169,343,44603.69,22820.73,2021-01-25,60,inadimplente,2025-03-28 18:36:55.490957
170,762,6707.11,3619.92,2021-09-11,48,ativo,2025-03-28 18:36:55.490957
171,300,83238.16,56716.76,2023-10-30,12,inadimplente,2025-03-28 18:36:55.490957
172,280,99971.67,40525.02,2023-02-13,24,inadimplente,2025-03-28 18:36:55.490957
173,996,40776.1,40600.51,2021-10-25,48,liquidado,2025-03-28 18:36:55.490957
174,104,33256.49,28426.48,2022-12-03,36,ativo,2025-03-28 18:36:55.490957
175,999,40118.64,13143.74,2022-03-10,12,ativo,2025-03-28 18:36:55.490957
176,164,90787.34,35648.62,2021-05-17,36,ativo,2025-03-28 18:36:55.490957
177,866,72492.18,48814.11,2022-08-09,48,liquidado,2025-03-28 18:36:55.490957
178,661,74840.14,51230.0,2022-04-14,60,ativo,2025-03-28 18:36:55.490957
179,184,28300.99,25866.07,2020-11-11,48,liquidado,2025-03-28 18:36:55.490957
180,529,94962.1,62583.03,2020-05-11,48,liquidado,2025-03-28 18:36:55.490957
181,695,38157.66,19080.68,2024-08-04,12,liquidado,2025-03-28 18:36:55.490957
182,216,44681.15,32350.44,2021-11-14,12,inadimplente,2025-03-28 18:36:55.490957
183,754,72845.93,67463.84,2020-05-09,36,liquidado,2025-03-28 18:36:55.490957
184,604,82924.37,69255.9,2022-08-23,48,inadimplente,2025-03-28 18:36:55.490957
185,365,48171.85,48041.11,2022-07-30,48,ativo,2025-03-28 18:36:55.490957
186,849,64379.63,32763.08,2024-08-16,36,inadimplente,2025-03-28 18:36:55.490957
187,806,26348.71,8472.51,2024-12-19,60,inadimplente,2025-03-28 18:36:55.490957
188,720,76497.04,72708.92,2022-05-08,36,inadimplente,2025-03-28 18:36:55.490957
189,566,53195.39,39512.52,2023-02-14,60,liquidado,2025-03-28 18:36:55.490957
190,681,28597.23,12797.07,2022-12-11,12,liquidado,2025-03-28 18:36:55.490957
191,303,99064.06,43633.33,2024-03-05,24,ativo,2025-03-28 18:36:55.490957
192,488,30167.32,9352.49,2024-04-07,12,ativo,2025-03-28 18:36:55.490957
193,549,74307.14,29722.5,2021-10-11,60,ativo,2025-03-28 18:36:55.490957
194,127,88558.0,69962.94,2024-10-28,12,liquidado,2025-03-28 18:36:55.490957
195,942,28753.11,22461.48,2024-09-24,36,inadimplente,2025-03-28 18:36:55.490957
196,584,11988.81,10379.49,2023-05-30,60,liquidado,2025-03-28 18:36:55.490957
197,45,95556.41,63621.8,2024-07-23,24,ativo,2025-03-28 18:36:55.490957
198,375,84365.37,39614.76,2021-06-14,48,liquidado,2025-03-28 18:36:55.490957
199,450,71300.9,54673.39,2020-05-15,48,liquidado,2025-03-28 18:36:55.490957
200,295,40729.3,20558.54,2021-08-03,36,liquidado,2025-03-28 18:36:55.490957
201,733,58742.49,52255.06,2024-01-11,12,ativo,2025-03-28 18:36:55.490957
202,670,97919.13,70741.2,2024-08-02,60,inadimplente,2025-03-28 18:36:55.490957
203,313,76201.53,32880.2,2023-05-02,24,liquidado,2025-03-28 18:36:55.490957
204,484,62853.6,22014.04,2020-12-31,24,liquidado,2025-03-28 18:36:55.490957
205,178,71681.31,62776.65,2020-05-18,48,ativo,2025-03-28 18:36:55.490957
206,59,77759.27,38101.0,2022-07-24,24,liquidado,2025-03-28 18:36:55.490957
207,760,63326.21,21406.31,2023-07-02,48,ativo,2025-03-28 18:36:55.490957
208,591,11172.08,4830.0,2021-04-30,60,liquidado,2025-03-28 18:36:55.490957
209,786,28340.79,22527.63,2021-10-31,24,ativo,2025-03-28 18:36:55.490957
210,390,25435.56,20822.38,2024-06-11,60,inadimplente,2025-03-28 18:36:55.490957
211,633,36663.16,17938.38,2024-02-14,36,liquidado,2025-03-28 18:36:55.490957
212,428,57609.11,53866.82,2024-01-01,36,ativo,2025-03-28 18:36:55.490957
213,83,91084.37,51382.76,2024-11-12,48,inadimplente,2025-03-28 18:36:55.490957
214,421,12486.25,4115.52,2020-09-26,60,ativo,2025-03-28 18:36:55.490957
215,828,63638.48,50446.22,2025-02-24,24,inadimplente,2025-03-28 18:36:55.490957
216,23,26168.91,23888.5,2022-07-24,60,ativo,2025-03-28 18:36:55.490957
217,536,76342.74,73712.04,2024-12-15,12,liquidado,2025-03-28 18:36:55.490957
218,713,11431.13,9685.33,2021-06-13,48,ativo,2025-03-28 18:36:55.490957
219,810,11376.0,7383.02,2021-06-02,48,ativo,2025-03-28 18:36:55.490957
220,355,46312.26,20665.36,2020-11-09,36,ativo,2025-03-28 18:36:55.490957
221,892,86036.71,37014.38,2025-02-22,60,ativo,2025-03-28 18:36:55.490957
222,100,85184.45,38196.35,2021-03-16,12,liquidado,2025-03-28 18:36:55.490957
223,459,73319.14,55238.58,2024-06-13,48,ativo,2025-03-28 18:36:55.490957
224,855,61167.46,30994.23,2022-05-05,48,liquidado,2025-03-28 18:36:55.490957
225,3,32247.11,24229.92,2024-06-14,60,liquidado,2025-03-28 18:36:55.490957
226,438,58338.35,20986.58,2021-01-13,36,inadimplente,2025-03-28 18:36:55.490957
227,525,6751.1,2552.31,2023-11-01,24,ativo,2025-03-28 18:36:55.490957
228,44,10886.82,8509.48,2023-03-20,60,ativo,2025-03-28 18:36:55.490957
229,102,34397.21,10784.53,2021-03-14,48,liquidado,2025-03-28 18:36:55.490957
230,138,4110.76,3351.67,2020-11-06,12,liquidado,2025-03-28 18:36:55.490957
231,884,1982.46,1238.77,2024-01-20,48,liquidado,2025-03-28 18:36:55.490957
232,188,40367.11,33650.68,2021-04-17,48,inadimplente,2025-03-28 18:36:55.490957
233,465,52608.31,51725.0,2020-05-28,36,liquidado,2025-03-28 18:36:55.490957
234,693,8562.11,4861.62,2020-10-09,12,liquidado,2025-03-28 18:36:55.490957
235,421,27292.7,8523.15,2021-10-14,60,ativo,2025-03-28 18:36:55.490957
236,33,74163.63,33839.71,2024-10-01,12,liquidado,2025-03-28 18:36:55.490957
237,12,1134.01,578.19,2021-03-26,48,ativo,2025-03-28 18:36:55.490957
238,647,88046.26,68051.49,2021-01-24,36,ativo,2025-03-28 18:36:55.490957
239,983,78257.24,48566.21,2020-11-29,36,inadimplente,2025-03-28 18:36:55.490957
240,925,23595.3,11151.67,2021-03-17,48,ativo,2025-03-28 18:36:55.490957
241,79,6911.93,5323.22,2022-08-25,48,liquidado,2025-03-28 18:36:55.490957
242,104,94329.71,80145.6,2021-05-31,48,liquidado,2025-03-28 18:36:55.490957
243,331,96314.07,33991.5,2023-05-18,12,ativo,2025-03-28 18:36:55.490957
244,571,72837.09,53448.89,2023-07-15,12,liquidado,2025-03-28 18:36:55.490957
245,25,78350.86,55222.38,2021-06-18,36,ativo,2025-03-28 18:36:55.490957
246,693,53199.25,49714.42,2023-08-01,48,inadimplente,2025-03-28 18:36:55.490957
247,491,81176.16,78186.98,2020-12-12,48,ativo,2025-03-28 18:36:55.490957
248,559,7002.26,5482.77,2023-07-05,24,ativo,2025-03-28 18:36:55.490957
249,882,1776.32,1317.4,2023-06-26,36,liquidado,2025-03-28 18:36:55.490957
250,673,95835.48,64282.78,2024-09-27,60,liquidado,2025-03-28 18:36:55.490957
251,277,96268.71,70722.46,2022-03-05,24,liquidado,2025-03-28 18:36:55.490957
252,714,18850.49,11706.5,2022-01-02,36,liquidado,2025-03-28 18:36:55.490957
253,518,45108.62,20137.83,2020-07-17,36,ativo,2025-03-28 18:36:55.490957
254,721,98138.06,83927.67,2023-10-19,36,inadimplente,2025-03-28 18:36:55.490957
255,668,66252.26,24925.78,2023-01-16,48,inadimplente,2025-03-28 18:36:55.490957
256,252,99487.11,79411.2,2022-11-02,24,liquidado,2025-03-28 18:36:55.490957
257,332,26694.64,16174.21,2023-06-30,36,inadimplente,2025-03-28 18:36:55.490957
258,311,22181.75,6856.84,2024-06-06,48,inadimplente,2025-03-28 18:36:55.490957
259,797,90881.98,87300.42,2021-11-30,36,inadimplente,2025-03-28 18:36:55.490957
260,245,95336.78,93138.02,2024-03-19,60,liquidado,2025-03-28 18:36:55.490957
261,8,77535.82,40086.02,2020-11-30,12,inadimplente,2025-03-28 18:36:55.490957
262,39,78353.54,76168.84,2024-11-13,24,liquidado,2025-03-28 18:36:55.490957
263,93,50390.67,15544.12,2020-09-11,24,ativo,2025-03-28 18:36:55.490957
264,988,92693.21,42645.71,2021-04-15,36,ativo,2025-03-28 18:36:55.490957
265,728,80999.85,34386.19,2022-04-15,36,liquidado,2025-03-28 18:36:55.490957
266,613,25334.94,14743.29,2023-10-26,48,ativo,2025-03-28 18:36:55.490957
267,173,12731.76,6394.14,2023-01-22,36,liquidado,2025-03-28 18:36:55.490957
268,499,49972.84,32927.31,2020-05-05,12,inadimplente,2025-03-28 18:36:55.490957
269,980,9981.45,3222.34,2021-02-21,36,ativo,2025-03-28 18:36:55.490957
270,359,58135.14,31973.44,2022-10-16,24,ativo,2025-03-28 18:36:55.490957
271,116,39245.99,27538.47,2020-04-06,24,ativo,2025-03-28 18:36:55.490957
272,114,90321.4,82567.21,2021-10-26,48,inadimplente,2025-03-28 18:36:55.490957
273,266,84141.8,69521.36,2021-01-27,60,liquidado,2025-03-28 18:36:55.490957
274,193,18346.96,16635.91,2020-09-21,60,ativo,2025-03-28 18:36:55.490957
275,733,43706.68,35114.47,2023-04-14,36,ativo,2025-03-28 18:36:55.490957
276,99,33307.5,29569.12,2022-06-23,60,inadimplente,2025-03-28 18:36:55.490957
277,303,90472.0,80709.59,2024-03-24,60,ativo,2025-03-28 18:36:55.490957
278,462,78256.18,49570.2,2021-11-15,24,ativo,2025-03-28 18:36:55.490957
279,221,26275.6,13321.37,2022-07-08,48,liquidado,2025-03-28 18:36:55.490957
280,505,37071.07,18782.77,2023-10-25,36,ativo,2025-03-28 18:36:55.490957
281,897,41531.8,36033.61,2022-07-26,60,liquidado,2025-03-28 18:36:55.490957
282,989,77341.16,58644.36,2021-09-11,36,liquidado,2025-03-28 18:36:55.490957
283,953,46866.07,15549.33,2024-02-06,48,inadimplente,2025-03-28 18:36:55.490957
284,877,4719.54,1838.29,2022-02-14,12,ativo,2025-03-28 18:36:55.490957
285,509,42240.02,28121.59,2022-09-09,60,ativo,2025-03-28 18:36:55.490957
286,650,20855.46,9228.64,2020-04-13,60,ativo,2025-03-28 18:36:55.490957
287,212,23811.25,7167.94,2023-01-24,48,liquidado,2025-03-28 18:36:55.490957
288,511,64422.92,38084.3,2024-04-29,60,inadimplente,2025-03-28 18:36:55.490957
289,826,30990.16,16353.71,2021-06-17,12,inadimplente,2025-03-28 18:36:55.490957
290,947,18979.78,10622.2,2020-05-08,36,inadimplente,2025-03-28 18:36:55.490957
291,886,41169.37,18704.97,2022-11-09,60,liquidado,2025-03-28 18:36:55.490957
292,661,15810.54,8956.4,2022-09-13,24,liquidado,2025-03-28 18:36:55.490957
293,32,17564.81,14867.6,2022-09-20,12,ativo,2025-03-28 18:36:55.490957
294,651,63214.97,40287.36,2023-06-13,12,inadimplente,2025-03-28 18:36:55.490957
295,153,13864.2,9594.92,2022-04-27,12,ativo,2025-03-28 18:36:55.490957
296,191,51380.17,28695.65,2023-09-25,12,inadimplente,2025-03-28 18:36:55.490957
297,88,16743.48,7135.02,2025-01-31,36,liquidado,2025-03-28 18:36:55.490957
298,1,13081.02,5070.04,2024-06-10,60,liquidado,2025-03-28 18:36:55.490957
299,313,28133.09,24333.71,2022-10-03,60,ativo,2025-03-28 18:36:55.490957
300,141,22125.94,16939.67,2023-04-12,60,inadimplente,2025-03-28 18:36:55.490957
301,337,70415.82,56962.15,2020-11-28,60,inadimplente,2025-03-28 18:36:55.490957
302,192,50129.62,28391.53,2023-08-22,48,liquidado,2025-03-28 18:36:55.490957
303,369,3494.15,3100.35,2021-04-18,24,ativo,2025-03-28 18:36:55.490957
304,270,84484.53,31112.28,2024-01-15,36,ativo,2025-03-28 18:36:55.490957
305,851,70913.13,47795.69,2022-05-15,36,ativo,2025-03-28 18:36:55.490957
306,193,31574.61,20131.5,2021-07-14,60,liquidado,2025-03-28 18:36:55.490957
307,483,95294.24,43712.34,2020-08-21,36,liquidado,2025-03-28 18:36:55.490957
308,89,16570.05,8564.26,2021-08-20,24,liquidado,2025-03-28 18:36:55.490957
309,883,50650.03,17708.47,2023-02-05,36,liquidado,2025-03-28 18:36:55.490957
310,784,98208.66,72634.67,2024-12-04,48,ativo,2025-03-28 18:36:55.490957
311,113,2959.77,1697.36,2022-10-20,60,inadimplente,2025-03-28 18:36:55.490957
312,140,62507.95,33368.93,2023-09-23,12,liquidado,2025-03-28 18:36:55.490957
313,69,7766.97,6591.3,2024-07-08,24,ativo,2025-03-28 18:36:55.490957
314,19,68076.55,23859.32,2021-11-02,48,ativo,2025-03-28 18:36:55.490957
315,141,78701.32,64018.86,2024-08-31,36,liquidado,2025-03-28 18:36:55.490957
316,477,11035.92,5457.23,2021-10-09,24,inadimplente,2025-03-28 18:36:55.490957
