id_operacao,id_cliente,produto,regiao,data_inicio,valor_contratado,prazo_meses,taxa_juros_aa,data_vencimento,atraso_max_dias,default,ead,perda_real,lgd,renda_cliente,idade_cliente,score_credito,estado_civil,grau_instrucao,tempo_emprego,profissao,tipo_residencia,numero_dependentes,tem_cartao_credito,tem_outros_creditos,possui_veiculo,possui_imovel
O000011,C01587,Crédito Pessoal,Nordeste,2020-02-04 00:20:35.867032,15138.09,48,10.44,2024-02-04 00:20:35.867032,0,0,0.0,0.0,0.0,14360.17,73,719.0,Solteiro,Superior,7.5,Aposentado,Alugada,1,Sim,Sim,Sim,Não
O000012,C01959,Cheque Especial,Centro-Oeste,2021-07-11 06:33:41.828138,12690.25,36,7.84,2024-07-11 06:33:41.828138,0,0,0.0,0.0,0.0,13269.28,29,432.0,Divorciado,Superior,20.7,Gerente,Cedido,0,Não,Não,Sim,Sim
O000013,C01495,Cheque Especial,Sul,2019-02-18 10:16:31.699752,6217.44,48,16.02,2023-02-18 10:16:31.699752,0,0,0.0,0.0,0.0,12663.8,37,684.0,Solteiro,Mestrado/Doutorado,13.0,Autônomo,Outros,2,Não,Não,Não,Não
O000014,C02324,Cheque Especial,Norte,2019-12-29 21:05:20.760271,49796.04,36,7.58,2022-12-29 21:05:20.760271,0,0,0.0,0.0,0.0,7223.4,41,711.0,União Estável,Pós-graduação,0.7,Professor,Outros,4,Sim,Sim,Sim,Não
O000015,C00234,Cartão de Crédito,Sudeste,2022-04-01 00:56:18.149075,23847.48,60,12.15,2027-04-01 00:56:18.149075,360,1,16863.160102615075,13698.07,0.81,10611.58,27,806.0,Viúvo,Superior,4.4,Professor,Própria,5,Sim,Não,Não,Não
O000016,C01266,Cheque Especial,Sul,2021-09-21 12:26:12.661515,2886.48,60,16.6,2026-09-21 12:26:12.661515,0,0,0.0,0.0,0.0,2840.27,33,821.0,Solteiro,Pós-graduação,13.9,Vendedor,Financiada,4,Sim,Não,Não,Não
O000017,C00032,Consignado,Norte,2020-02-07 07:17:57.283377,4288.38,48,9.15,2024-02-07 07:17:57.283377,0,0,0.0,0.0,0.0,4654.7,45,764.0,Divorciado,Fundamental,17.2,Analista,Cedido,1,Sim,Não,Sim,Não
O000018,C01372,Crédito Pessoal,Sul,2021-12-11 09:50:13.033553,6833.73,24,13.28,2023-12-11 09:50:13.033553,0,0,0.0,0.0,0.0,4848.07,28,484.0,Solteiro,Mestrado/Doutorado,11.4,Vendedor,Financiada,0,Sim,Não,Sim,Não
O000019,C00760,Financiamento Auto,Nordeste,2023-01-17 05:03:14.408960,10981.35,24,11.16,2025-01-17 05:03:14.408960,0,0,0.0,0.0,0.0,16089.05,36,420.0,Viúvo,Superior,21.1,Aposentado,Própria,0,Sim,Sim,Não,Não
O000020,C01799,Cheque Especial,Nordeste,2019-01-12 20:38:44.426037,37151.05,24,8.09,2021-01-12 20:38:44.426037,30,0,0.0,0.0,0.0,2818.25,46,831.0,Viúvo,Fundamental,20.3,Estudante,Outros,2,Sim,Sim,Sim,Não
O000021,C01795,Crédito Pessoal,Norte,2023-01-10 14:52:59.628997,28155.07,36,17.68,2026-01-10 14:52:59.628997,0,0,0.0,0.0,0.0,2270.95,28,632.0,Casado,Fundamental,5.7,Analista,Cedido,0,Sim,Sim,Sim,Sim
O000022,C00793,Cartão de Crédito,Sudeste,2022-06-28 02:30:19.801744,38944.64,24,17.0,2024-06-28 02:30:19.801744,15,0,0.0,0.0,0.0,10858.94,38,635.0,Viúvo,Superior,9.2,Engenheiro,Alugada,3,Não,Não,Sim,Sim
O000023,C01392,Crédito Pessoal,Nordeste,2020-09-12 22:58:21.444557,1481.0,48,16.18,2024-09-12 22:58:21.444557,15,0,0.0,0.0,0.0,2859.69,61,413.0,União Estável,Superior,8.6,Analista,Alugada,1,Não,Não,Não,Sim
O000024,C00762,Cheque Especial,Sudeste,2019-10-11 18:00:07.530322,13623.24,24,23.62,2021-10-11 18:00:07.530322,0,0,0.0,0.0,0.0,7266.86,41,515.0,União Estável,Fundamental,13.9,Professor,Alugada,0,Sim,Sim,Não,Não
O000025,C00265,Cheque Especial,Norte,2023-10-13 21:55:57.225565,20573.52,48,23.53,2027-10-13 21:55:57.225565,60,0,0.0,0.0,0.0,17731.4,26,600.0,Viúvo,Médio,18.3,Professor,Própria,1,Sim,Sim,Sim,Não
O000026,C02263,Cheque Especial,Norte,2020-09-06 06:50:27.873359,21736.18,48,16.45,2024-09-06 06:50:27.873359,0,0,0.0,0.0,0.0,18011.68,60,686.0,Solteiro,Pós-graduação,10.3,Aposentado,Outros,5,Não,Não,Não,Não
O000027,C00282,Consignado,Sul,2019-06-19 06:16:04.584182,3151.23,36,19.77,2022-06-19 06:16:04.584182,0,0,0.0,0.0,0.0,7752.91,28,413.0,Divorciado,Pós-graduação,23.8,Aposentado,Financiada,4,Sim,Não,Sim,Não
O000028,C00530,Crédito Pessoal,Norte,2019-06-26 12:10:38.299101,25820.26,60,21.1,2024-06-26 12:10:38.299101,0,0,0.0,0.0,0.0,17497.36,62,332.0,Viúvo,Pós-graduação,29.4,Professor,Cedido,5,Sim,Sim,Não,Não
O000029,C01883,Financiamento Auto,Sul,2023-03-27 16:15:11.685668,14687.87,36,7.2,2026-03-27 16:15:11.685668,0,0,0.0,0.0,0.0,13271.39,71,504.0,Solteiro,Fundamental,5.5,Engenheiro,Financiada,2,Sim,Sim,Sim,Sim
O000030,C02029,Consignado,Sudeste,2022-01-06 19:12:00.625931,9977.92,36,21.9,2025-01-06 19:12:00.625931,0,0,0.0,0.0,0.0,6245.81,40,628.0,Casado,Médio,13.0,Analista,Alugada,0,Sim,Sim,Sim,Não
O000031,C02050,Financiamento Auto,Sul,2023-01-13 00:13:06.129904,33722.5,12,5.1,2024-01-13 00:13:06.129904,15,0,0.0,0.0,0.0,3011.92,37,847.0,União Estável,Superior,6.4,Gerente,Própria,3,Sim,Sim,Não,Não
O000032,C02561,Cheque Especial,Sudeste,2022-08-24 18:15:08.125881,4650.55,24,5.04,2024-08-24 18:15:08.125881,0,0,0.0,0.0,0.0,16198.54,73,328.0,Viúvo,Fundamental,3.8,Autônomo,Alugada,3,Sim,Não,Sim,Não
O000033,C00816,Financiamento Auto,Nordeste,2021-09-05 14:47:25.460577,43416.88,24,11.21,2023-09-05 14:47:25.460577,120,1,28100.167398009926,24957.34,0.89,11098.5,46,810.0,Viúvo,Mestrado/Doutorado,12.2,Vendedor,Alugada,0,Não,Não,Não,Não
O000034,C00464,Financiamento Auto,Sudeste,2023-11-11 22:28:13.664267,45041.35,48,20.86,2027-11-11 22:28:13.664267,60,0,0.0,0.0,0.0,12292.32,56,424.0,Divorciado,Pós-graduação,22.1,Gerente,Outros,3,Sim,Não,Sim,Não
O000035,C01471,Consignado,Centro-Oeste,2020-11-21 19:48:20.598213,16614.06,60,23.43,2025-11-21 19:48:20.598213,0,0,0.0,0.0,0.0,11989.8,43,524.0,Casado,Médio,17.3,Engenheiro,Cedido,3,Sim,Sim,Sim,Sim
O000036,C01387,Consignado,Sul,2021-10-04 11:22:46.739162,49351.53,24,12.98,2023-10-04 11:22:46.739162,30,0,0.0,0.0,0.0,15809.25,57,508.0,União Estável,Superior,20.9,Engenheiro,Outros,2,Sim,Sim,Não,Não
O000037,C00164,Crédito Pessoal,Nordeste,2023-02-22 15:55:27.459412,20362.7,24,17.62,2025-02-22 15:55:27.459412,90,1,10264.001107607339,6825.16,0.66,11411.83,53,788.0,Divorciado,Mestrado/Doutorado,12.2,Autônomo,Financiada,2,Sim,Não,Sim,Sim
O000038,C01727,Financiamento Auto,Sudeste,2022-02-02 19:09:54.552794,48134.61,60,14.45,2027-02-02 19:09:54.552794,180,1,30295.549233671474,10429.24,0.34,10924.31,31,332.0,União Estável,Médio,24.6,Vendedor,Alugada,1,Sim,Sim,Sim,Sim
O000039,C01611,Consignado,Norte,2023-04-22 14:45:44.041003,49350.48,24,10.59,2025-04-22 14:45:44.041003,0,0,0.0,0.0,0.0,17781.46,28,507.0,Divorciado,Médio,25.0,Aposentado,Cedido,1,Não,Não,Sim,Não
O000040,C02586,Crédito Pessoal,Sul,2021-11-19 16:01:26.264086,41432.06,12,22.36,2022-11-19 16:01:26.264086,0,0,0.0,0.0,0.0,13058.5,33,329.0,Divorciado,Pós-graduação,26.9,Professor,Cedido,2,Sim,Sim,Sim,Sim
O000041,C00511,Financiamento Auto,Sudeste,2022-07-09 20:14:47.134369,6679.12,24,16.74,2024-07-09 20:14:47.134369,30,0,0.0,0.0,0.0,12848.18,57,741.0,Casado,Superior,11.5,Vendedor,Própria,5,Sim,Não,Não,Sim
O000042,C01798,Financiamento Auto,Nordeste,2019-03-25 15:06:28.814825,29428.75,12,18.79,2020-03-25 15:06:28.814825,120,1,16418.850229748736,5901.11,0.36,2833.56,21,420.0,Casado,Médio,21.3,Analista,Financiada,0,Não,Sim,Não,Não
O000043,C01245,Cheque Especial,Norte,2020-02-20 21:56:40.104736,36730.05,36,17.34,2023-02-20 21:56:40.104736,30,0,0.0,0.0,0.0,15578.94,49,526.0,Casado,Mestrado/Doutorado,25.1,Professor,Cedido,3,Sim,Não,Sim,Não
O000044,C00555,Consignado,Sul,2020-06-12 03:11:34.100780,4334.49,36,6.68,2023-06-12 03:11:34.100780,0,0,0.0,0.0,0.0,17718.09,47,512.0,União Estável,Superior,12.9,Estudante,Outros,0,Sim,Sim,Sim,Sim
O000045,C02689,Cartão de Crédito,Nordeste,2019-05-26 14:53:18.921318,44735.27,12,21.59,2020-05-26 14:53:18.921318,0,0,0.0,0.0,0.0,10617.99,53,678.0,Solteiro,Médio,29.3,Estudante,Outros,0,Não,Não,Sim,Não
O000046,C01307,Consignado,Norte,2020-02-29 20:14:26.961407,42664.33,48,5.77,2024-02-29 20:14:26.961407,0,0,0.0,0.0,0.0,14710.61,43,780.0,União Estável,Mestrado/Doutorado,12.3,Engenheiro,Financiada,4,Sim,Não,Não,Sim
O000047,C01909,Cheque Especial,Centro-Oeste,2019-07-04 07:51:45.389326,46725.89,12,18.82,2020-07-04 07:51:45.389326,15,0,0.0,0.0,0.0,7548.23,44,588.0,Solteiro,Pós-graduação,16.0,Estudante,Financiada,3,Sim,Não,Sim,Não
O000048,C01398,Crédito Pessoal,Norte,2020-05-22 07:14:37.738399,25957.66,48,7.83,2024-05-22 07:14:37.738399,0,0,0.0,0.0,0.0,6101.21,71,610.0,Viúvo,Mestrado/Doutorado,19.6,Gerente,Outros,4,Sim,Sim,Não,Não
O000049,C00259,Consignado,Sul,2022-03-06 02:58:43.171611,16553.08,60,15.95,2027-03-06 02:58:43.171611,0,0,0.0,0.0,0.0,12046.13,56,548.0,União Estável,Fundamental,4.8,Estudante,Outros,1,Sim,Não,Não,Não
O000050,C02493,Financiamento Auto,Centro-Oeste,2020-10-27 19:38:57.980003,25564.07,60,7.55,2025-10-27 19:38:57.980003,0,0,0.0,0.0,0.0,15593.27,74,576.0,União Estável,Superior,26.3,Aposentado,Cedido,0,Sim,Não,Sim,Não
O000051,C01225,Cartão de Crédito,Sudeste,2020-11-06 13:55:34.894990,36603.08,12,24.39,2021-11-06 13:55:34.894990,15,0,0.0,0.0,0.0,9264.96,34,360.0,Casado,Pós-graduação,15.9,Professor,Alugada,4,Sim,Sim,Não,Sim
O000052,C01666,Crédito Pessoal,Centro-Oeste,2020-01-18 08:24:28.612048,21102.16,48,13.65,2024-01-18 08:24:28.612048,0,0,0.0,0.0,0.0,17251.36,19,556.0,Divorciado,Fundamental,1.4,Analista,Própria,0,Sim,Sim,Sim,Sim
O000053,C01404,Consignado,Centro-Oeste,2020-05-02 05:37:42.980704,17912.26,36,20.87,2023-05-02 05:37:42.980704,0,0,0.0,0.0,0.0,15123.44,38,781.0,Casado,Mestrado/Doutorado,25.5,Analista,Cedido,3,Sim,Sim,Não,Sim
O000054,C01866,Crédito Pessoal,Centro-Oeste,2023-09-06 09:28:15.390506,4314.26,12,20.93,2024-09-06 09:28:15.390506,15,0,0.0,0.0,0.0,18841.68,28,478.0,Divorciado,Mestrado/Doutorado,3.3,Professor,Cedido,5,Sim,Não,Sim,Sim
O000055,C00766,Financiamento Auto,Norte,2022-03-28 15:56:59.545683,22638.21,12,7.43,2023-03-28 15:56:59.545683,15,0,0.0,0.0,0.0,12042.96,72,433.0,Viúvo,Superior,22.4,Engenheiro,Alugada,4,Sim,Sim,Sim,Não
O000056,C00065,Cartão de Crédito,Centro-Oeste,2022-01-16 15:56:16.973571,19948.04,48,16.32,2026-01-16 15:56:16.973571,0,0,0.0,0.0,0.0,6697.29,35,566.0,Solteiro,Fundamental,5.2,Autônomo,Cedido,0,Sim,Sim,Sim,Não
O000057,C02706,Financiamento Auto,Centro-Oeste,2019-11-09 07:52:22.047876,33332.96,60,24.98,2024-11-09 07:52:22.047876,60,0,0.0,0.0,0.0,16432.38,26,680.0,Solteiro,Médio,17.5,Autônomo,Outros,4,Não,Não,Sim,Não
O000058,C01670,Cartão de Crédito,Sudeste,2022-08-23 15:45:13.500811,22217.88,36,12.64,2025-08-23 15:45:13.500811,0,0,0.0,0.0,0.0,16622.82,35,620.0,Casado,Superior,4.1,Vendedor,Outros,3,Sim,Sim,Sim,Sim
O000059,C02090,Crédito Pessoal,Centro-Oeste,2019-10-26 05:01:45.216381,699.92,48,6.91,2023-10-26 05:01:45.216381,60,0,0.0,0.0,0.0,8537.77,37,781.0,União Estável,Pós-graduação,7.4,Analista,Alugada,3,Sim,Não,Não,Não
O000060,C00879,Consignado,Norte,2020-11-23 12:08:54.056346,24475.51,48,20.29,2024-11-23 12:08:54.056346,360,1,22372.1096123124,15683.08,0.7,2001.28,68,656.0,Viúvo,Fundamental,11.5,Gerente,Cedido,4,Sim,Sim,Não,Não
O000061,C00196,Cartão de Crédito,Nordeste,2023-12-11 21:07:21.928378,38798.88,36,16.88,2026-12-11 21:07:21.928378,60,0,0.0,0.0,0.0,7960.38,36,331.0,Viúvo,Superior,16.9,Analista,Cedido,3,Sim,Sim,Sim,Não
O000062,C01384,Financiamento Auto,Nordeste,2022-03-13 23:59:22.133793,47292.58,12,19.29,2023-03-13 23:59:22.133793,60,0,0.0,0.0,0.0,6275.47,65,496.0,Casado,Mestrado/Doutorado,0.7,Professor,Financiada,1,Sim,Não,Não,Sim
O000063,C01796,Cartão de Crédito,Norte,2021-10-13 10:23:55.598386,10051.31,12,15.64,2022-10-13 10:23:55.598386,90,1,8932.698997539803,3570.06,0.4,3068.65,54,464.0,União Estável,Pós-graduação,29.5,Aposentado,Cedido,3,Não,Sim,Não,Não
O000064,C02436,Crédito Pessoal,Norte,2022-06-03 10:06:15.096083,21415.53,24,10.38,2024-06-03 10:06:15.096083,0,0,0.0,0.0,0.0,8705.42,20,553.0,Casado,Pós-graduação,16.0,Estudante,Cedido,2,Sim,Sim,Sim,Não
O000065,C00065,Crédito Pessoal,Centro-Oeste,2023-03-19 04:54:50.775529,42449.31,36,14.36,2026-03-19 04:54:50.775529,15,0,0.0,0.0,0.0,6697.29,35,566.0,Solteiro,Fundamental,5.2,Autônomo,Cedido,0,Sim,Sim,Sim,Não
O000066,C01321,Crédito Pessoal,Norte,2022-11-17 04:47:46.052612,2620.89,48,16.71,2026-11-17 04:47:46.052612,30,0,0.0,0.0,0.0,6071.41,18,373.0,Viúvo,Fundamental,0.4,Professor,Outros,0,Sim,Não,Sim,Não
O000067,C01451,Consignado,Centro-Oeste,2020-02-23 00:18:19.987300,17819.82,24,9.75,2022-02-23 00:18:19.987300,120,1,13104.117839674376,9146.24,0.7,10697.73,25,582.0,Casado,Fundamental,16.6,Aposentado,Própria,4,Sim,Sim,Não,Não
O000068,C00223,Crédito Pessoal,Sul,2019-02-28 13:59:26.458789,29758.5,24,22.08,2021-02-28 13:59:26.458789,90,1,16620.764640909456,11861.62,0.71,3232.98,57,718.0,Casado,Médio,4.8,Autônomo,Própria,5,Sim,Não,Não,Sim
O000069,C02963,Consignado,Sudeste,2020-07-29 16:50:36.617956,17454.54,24,13.23,2022-07-29 16:50:36.617956,0,0,0.0,0.0,0.0,7708.79,31,562.0,União Estável,Superior,23.6,Analista,Financiada,5,Sim,Não,Sim,Não
O000070,C01533,Cheque Especial,Sudeste,2020-05-03 15:03:01.323849,24724.62,12,19.3,2021-05-03 15:03:01.323849,0,0,0.0,0.0,0.0,14748.79,25,729.0,Solteiro,Pós-graduação,18.9,Engenheiro,Outros,4,Não,Não,Não,Não
O000071,C00442,Cartão de Crédito,Sudeste,2020-01-21 01:02:54.776692,46985.83,60,23.88,2025-01-21 01:02:54.776692,0,0,0.0,0.0,0.0,19752.83,18,344.0,Divorciado,Médio,3.5,Gerente,Própria,4,Sim,Não,Sim,Não
O000072,C01438,Financiamento Auto,Sul,2023-09-17 19:26:43.756351,1684.36,24,13.31,2025-09-17 19:26:43.756351,0,0,0.0,0.0,0.0,14536.59,43,343.0,União Estável,Pós-graduação,16.5,Gerente,Outros,4,Não,Sim,Sim,Sim
O000073,C00903,Consignado,Sudeste,2023-05-19 08:54:07.342210,4356.78,48,14.23,2027-05-19 08:54:07.342210,0,0,0.0,0.0,0.0,4856.56,46,664.0,União Estável,Pós-graduação,24.0,Vendedor,Financiada,0,Sim,Sim,Não,Não
O000074,C02501,Consignado,Centro-Oeste,2020-07-28 06:53:28.244304,10249.67,12,8.67,2021-07-28 06:53:28.244304,60,0,0.0,0.0,0.0,16809.1,57,372.0,Solteiro,Superior,14.1,Aposentado,Financiada,1,Sim,Sim,Sim,Não
O000075,C02368,Financiamento Auto,Nordeste,2022-04-11 04:12:48.743697,19552.51,60,12.52,2027-04-11 04:12:48.743697,0,0,0.0,0.0,0.0,11834.88,48,728.0,Viúvo,Superior,9.8,Autônomo,Alugada,0,Sim,Não,Não,Sim
O000076,C00770,Cartão de Crédito,Sudeste,2020-12-23 00:40:38.159245,23804.1,60,15.58,2025-12-23 00:40:38.159245,60,0,0.0,0.0,0.0,16693.26,68,578.0,Casado,Mestrado/Doutorado,13.0,Autônomo,Própria,5,Sim,Não,Não,Não
O000077,C00883,Crédito Pessoal,Sudeste,2023-07-28 01:11:03.950289,2315.24,24,9.59,2025-07-28 01:11:03.950289,0,0,0.0,0.0,0.0,1864.64,34,802.0,Viúvo,Fundamental,20.6,Analista,Outros,0,Sim,Não,Sim,Sim
O000078,C00451,Cartão de Crédito,Centro-Oeste,2021-04-17 09:42:40.115981,44187.0,24,5.52,2023-04-17 09:42:40.115981,30,0,0.0,0.0,0.0,15877.22,46,657.0,Divorciado,Superior,1.0,Professor,Própria,2,Sim,Sim,Não,Sim
O000079,C02944,Consignado,Centro-Oeste,2020-04-28 09:45:04.653413,38050.2,12,10.16,2021-04-28 09:45:04.653413,15,0,0.0,0.0,0.0,14716.85,22,313.0,Casado,Fundamental,16.2,Aposentado,Cedido,0,Sim,Não,Não,Não
O000080,C01103,Crédito Pessoal,Sudeste,2020-03-26 02:17:05.413187,13766.51,24,18.65,2022-03-26 02:17:05.413187,15,0,0.0,0.0,0.0,17850.04,32,830.0,Viúvo,Superior,20.2,Gerente,Outros,2,Não,Sim,Não,Sim
O000081,C00743,Cheque Especial,Norte,2021-10-21 11:55:27.394846,13210.03,12,22.17,2022-10-21 11:55:27.394846,0,0,0.0,0.0,0.0,15330.77,20,317.0,União Estável,Médio,22.4,Aposentado,Financiada,3,Sim,Sim,Sim,Sim
O000082,C02405,Financiamento Auto,Sul,2020-04-24 12:04:56.831897,1766.48,60,7.62,2025-04-24 12:04:56.831897,0,0,0.0,0.0,0.0,14026.73,70,305.0,Viúvo,Superior,1.2,Engenheiro,Outros,1,Sim,Sim,Não,Sim
O000083,C01610,Cartão de Crédito,Nordeste,2021-12-02 20:51:58.938448,20257.04,48,18.43,2025-12-02 20:51:58.938448,60,0,0.0,0.0,0.0,11490.22,72,544.0,Casado,Mestrado/Doutorado,25.2,Gerente,Outros,3,Sim,Sim,Não,Sim
O000084,C01545,Crédito Pessoal,Nordeste,2023-06-27 12:38:32.286438,13096.78,48,11.8,2027-06-27 12:38:32.286438,0,0,0.0,0.0,0.0,19314.15,61,806.0,Solteiro,Mestrado/Doutorado,24.3,Estudante,Financiada,3,Não,Sim,Não,Sim
O000085,C02830,Financiamento Auto,Sul,2020-12-29 21:44:31.650538,31111.79,36,11.02,2023-12-29 21:44:31.650538,0,0,0.0,0.0,0.0,2039.64,36,637.0,Divorciado,Superior,11.9,Estudante,Financiada,0,Não,Não,Sim,Não
O000086,C02614,Cartão de Crédito,Sudeste,2020-02-05 06:14:57.303921,27620.21,36,13.65,2023-02-05 06:14:57.303921,0,0,0.0,0.0,0.0,15206.73,60,317.0,União Estável,Fundamental,20.4,Vendedor,Financiada,0,Sim,Não,Sim,Não
O000087,C01916,Consignado,Sudeste,2023-12-26 12:08:49.792149,47878.09,36,22.41,2026-12-26 12:08:49.792149,0,0,0.0,0.0,0.0,14858.31,19,720.0,Divorciado,Mestrado/Doutorado,1.8,Analista,Financiada,3,Sim,Não,Sim,Não
O000088,C01249,Consignado,Sudeste,2021-07-18 21:15:05.986905,39864.58,48,16.61,2025-07-18 21:15:05.986905,60,0,0.0,0.0,0.0,18535.69,72,831.0,Viúvo,Mestrado/Doutorado,18.4,Analista,Alugada,4,Sim,Não,Sim,Não
O000089,C00528,Consignado,Sudeste,2019-06-15 21:49:56.111564,4502.8,24,17.81,2021-06-15 21:49:56.111564,60,0,0.0,0.0,0.0,6558.03,74,495.0,Casado,Mestrado/Doutorado,3.0,Autônomo,Alugada,0,Não,Não,Não,Sim
O000090,C00724,Cheque Especial,Sudeste,2019-03-27 23:41:50.076972,35362.21,12,7.29,2020-03-27 23:41:50.076972,0,0,0.0,0.0,0.0,15210.73,28,476.0,Viúvo,Fundamental,13.0,Vendedor,Própria,1,Sim,Sim,Sim,Não
O000091,C00241,Consignado,Nordeste,2019-07-20 02:37:54.873692,5802.2,48,7.41,2023-07-20 02:37:54.873692,60,0,0.0,0.0,0.0,18898.48,63,800.0,Solteiro,Pós-graduação,20.9,Aposentado,Alugada,4,Sim,Não,Sim,Não
O000092,C02662,Consignado,Sudeste,2022-02-19 02:08:11.855743,16492.84,36,15.05,2025-02-19 02:08:11.855743,90,1,12530.885234751871,4772.36,0.38,17782.9,42,820.0,União Estável,Médio,5.3,Professor,Outros,1,Sim,Não,Sim,Sim
O000093,C02143,Consignado,Centro-Oeste,2022-12-16 13:04:34.172752,27973.38,36,19.37,2025-12-16 13:04:34.172752,0,0,0.0,0.0,0.0,14639.49,51,388.0,Divorciado,Fundamental,23.6,Aposentado,Alugada,5,Não,Sim,Sim,Não
O000094,C00365,Crédito Pessoal,Norte,2021-02-09 10:36:23.564974,25038.02,24,8.91,2023-02-09 10:36:23.564974,90,1,19160.66640338485,18750.39,0.98,18917.1,40,813.0,Divorciado,Fundamental,17.2,Gerente,Própria,5,Sim,Sim,Não,Não
O000095,C01209,Financiamento Auto,Sudeste,2019-04-26 22:30:48.706041,34820.07,36,15.96,2022-04-26 22:30:48.706041,15,0,0.0,0.0,0.0,6562.09,71,355.0,Viúvo,Mestrado/Doutorado,4.4,Professor,Própria,1,Sim,Sim,Sim,Sim
O000096,C01160,Cheque Especial,Centro-Oeste,2020-11-27 10:55:29.096351,40596.4,36,23.33,2023-11-27 10:55:29.096351,90,1,33109.76049407669,12697.58,0.38,2041.07,74,719.0,Solteiro,Fundamental,8.0,Autônomo,Outros,0,Sim,Sim,Não,Sim
O000097,C00025,Cartão de Crédito,Nordeste,2023-12-23 22:06:59.236259,41554.58,12,15.25,2024-12-23 22:06:59.236259,0,0,0.0,0.0,0.0,9937.29,44,490.0,Casado,Médio,16.4,Estudante,Financiada,1,Não,Sim,Sim,Sim
O000098,C01961,Cheque Especial,Centro-Oeste,2021-08-23 15:12:29.935232,3387.52,24,14.61,2023-08-23 15:12:29.935232,0,0,0.0,0.0,0.0,3689.22,73,438.0,Casado,Médio,28.8,Aposentado,Financiada,5,Sim,Não,Não,Não
O000099,C02366,Financiamento Auto,Sul,2023-11-08 05:13:58.582115,32261.95,60,16.71,2028-11-08 05:13:58.582115,0,0,0.0,0.0,0.0,2309.17,50,586.0,Divorciado,Médio,8.7,Gerente,Financiada,2,Sim,Sim,Sim,Sim
O000100,C02381,Consignado,Sul,2023-04-20 22:09:03.448336,48088.21,60,18.85,2028-04-20 22:09:03.448336,0,0,0.0,0.0,0.0,16714.81,59,616.0,Casado,Mestrado/Doutorado,7.5,Analista,Outros,5,Sim,Não,Não,Não
