id_transacao,id_cliente,data_transacao,valor_transacao,tipo_transacao
338,574,2024-06-28,2987.91,pagamento
339,634,2024-11-09,775.87,ted
340,210,2024-02-10,6320.35,doc
341,28,2024-06-01,903.71,saque
342,960,2023-06-14,8098.38,ted
343,500,2023-10-27,1162.56,pagamento
344,592,2024-06-07,3159.98,pagamento
345,873,2023-11-06,3123.33,pagamento
346,150,2023-08-20,2374.24,ted
347,457,2024-02-29,2714.78,pagamento
348,333,2025-02-06,243.95,saque
349,213,2023-08-23,7809.1,ted
350,732,2024-01-15,248.69,pagamento
351,524,2024-07-02,1338.64,doc
352,624,2024-08-15,1799.73,saque
353,716,2024-10-30,8657.17,ted
354,286,2024-05-25,1800.06,pagamento
355,688,2023-05-02,4699.99,ted
356,242,2024-10-23,3733.02,ted
357,498,2024-03-07,4532.12,ted
358,447,2023-04-18,8395.82,doc
359,950,2023-05-14,4928.01,pagamento
360,474,2024-08-17,9945.41,doc
361,275,2025-02-27,330.49,saque
362,177,2024-07-06,3211.29,pagamento
363,27,2024-08-07,8674.09,ted
364,268,2025-01-24,2084.16,pagamento
365,133,2024-04-20,3193.02,pagamento
366,82,2023-06-22,4999.47,pagamento
367,328,2023-11-21,170.01,saque
368,542,2024-02-20,4965.44,pagamento
369,784,2023-05-23,4266.82,pagamento
370,157,2024-11-14,9262.09,ted
371,382,2023-10-02,1545.11,saque
372,595,2023-12-03,971.06,ted
373,572,2023-07-16,1054.37,saque
374,771,2023-09-24,201.19,saque
375,2,2023-07-13,1824.33,ted
376,700,2023-11-09,8872.24,doc
377,977,2024-12-14,790.2,saque
378,879,2024-05-14,6886.6,doc
379,37,2024-11-06,9162.07,ted
380,825,2023-12-18,571.2,pagamento
381,549,2024-02-14,2275.07,doc
382,188,2023-04-30,2737.41,doc
383,354,2023-09-03,6358.93,ted
384,837,2024-03-18,3401.96,pagamento
385,403,2024-01-21,1295.03,saque
386,624,2025-02-25,7640.01,doc
387,18,2023-11-09,642.1,doc
388,897,2024-11-09,3179.57,ted
389,757,2024-11-11,9113.49,doc
390,391,2025-03-12,745.56,ted
391,913,2025-01-05,3563.72,ted
392,689,2023-07-11,2212.81,ted
393,446,2024-11-22,787.79,saque
394,196,2023-12-02,480.61,saque
395,843,2023-11-05,9143.14,ted
396,512,2023-05-06,619.21,doc
397,630,2023-11-16,1580.58,pagamento
398,44,2025-02-06,964.75,saque
399,77,2023-04-23,1054.2,saque
400,67,2025-01-06,2354.7,pagamento
401,779,2023-05-21,7326.72,ted
402,341,2023-05-08,1853.4,ted
403,398,2023-12-24,7843.09,ted
404,331,2023-08-20,2960.87,pagamento
405,649,2024-04-09,3243.43,pagamento
406,798,2023-06-16,4601.82,pagamento
407,815,2024-02-10,592.45,saque
408,254,2024-02-24,8542.52,doc
409,802,2023-11-04,5491.69,doc
410,484,2024-08-22,1521.33,saque
411,648,2024-02-01,5868.95,doc
412,736,2023-06-10,4843.38,pagamento
413,777,2024-04-04,9844.78,ted
414,138,2023-05-21,913.08,saque
415,510,2023-06-02,1599.27,doc
416,728,2023-11-20,2319.11,pagamento
417,234,2024-10-06,4948.74,ted
418,361,2023-12-17,4786.55,doc
419,738,2025-03-17,1970.82,saque
420,583,2024-09-12,3868.0,pagamento
421,774,2023-09-08,960.04,pagamento
422,700,2024-06-13,5557.34,doc
423,934,2024-09-25,3749.9,ted
424,150,2023-12-19,9862.63,ted
425,480,2024-12-15,746.44,pagamento
426,402,2023-05-15,989.79,saque
427,958,2025-01-02,951.94,saque
428,242,2024-02-13,3907.71,pagamento
429,529,2024-07-15,9834.21,ted
430,825,2024-04-08,716.64,pagamento
431,441,2023-06-19,6130.66,doc
432,232,2025-03-01,1758.28,saque
433,779,2023-06-11,6749.32,ted
434,468,2023-11-06,277.67,saque
435,321,2023-10-06,973.57,pagamento
436,872,2023-05-25,3372.1,ted
437,441,2024-05-29,662.91,doc
438,401,2024-11-17,4528.5,ted
439,768,2023-10-23,2224.99,doc
440,670,2023-06-21,5999.29,ted
441,368,2024-12-11,583.81,doc
442,971,2024-04-22,1683.46,saque
443,500,2023-08-11,8909.68,doc
444,411,2024-07-30,793.24,saque
445,328,2024-11-26,5181.11,doc
446,925,2024-03-13,3790.79,ted
447,31,2025-01-22,4449.24,pagamento
448,317,2023-04-03,1056.44,saque
449,190,2024-09-19,1419.52,pagamento
450,296,2024-10-28,643.21,pagamento
451,800,2024-04-29,1569.45,saque
452,215,2025-01-19,7093.19,doc
453,694,2023-04-03,2253.08,doc
454,551,2025-02-06,4385.37,ted
455,619,2024-12-08,6567.87,doc
456,792,2023-08-04,3853.63,pagamento
457,290,2024-03-30,6369.66,ted
458,650,2023-08-05,701.81,saque
459,421,2024-06-20,6341.65,ted
460,592,2025-01-18,1115.24,saque
461,416,2023-05-15,5652.9,doc
462,150,2024-12-29,7126.24,doc
463,808,2024-03-23,4188.76,pagamento
464,272,2024-01-24,7003.17,ted
465,492,2024-09-21,9850.37,ted
466,730,2024-07-29,3955.57,pagamento
467,44,2024-05-20,5588.5,doc
468,454,2023-08-18,1100.03,saque
469,891,2024-11-19,2787.54,pagamento
470,774,2023-04-24,4206.86,ted
471,786,2024-08-26,1757.52,saque
472,836,2024-06-29,3969.08,pagamento
473,490,2025-02-01,121.58,saque
474,314,2023-08-05,7767.91,ted
475,932,2023-09-16,4368.98,pagamento
476,986,2023-10-16,711.38,ted
477,769,2025-02-12,1547.21,ted
478,142,2024-06-29,377.8,saque
479,171,2024-08-19,1534.48,saque
480,411,2023-06-27,4028.62,doc
481,691,2024-06-25,422.04,saque
482,327,2023-08-17,6746.19,doc
483,879,2024-08-21,1547.39,pagamento
484,189,2024-11-22,4138.19,doc
485,306,2024-08-15,1305.8,saque
486,762,2024-03-03,614.09,doc
487,142,2023-11-21,2889.65,pagamento
488,581,2023-12-21,2554.73,pagamento
489,62,2024-02-04,4980.7,doc
490,410,2023-11-07,1032.28,doc
491,574,2023-08-15,999.62,ted
492,779,2024-12-01,3419.29,doc
493,674,2025-01-22,1775.82,doc
494,624,2024-12-23,4477.88,pagamento
495,98,2023-12-01,3762.72,doc
496,191,2024-07-12,523.65,pagamento
497,250,2023-03-29,539.67,saque
498,485,2023-07-04,8598.85,doc
499,814,2023-10-24,2625.71,pagamento
500,930,2023-07-20,9358.06,ted
501,245,2023-08-10,294.49,saque
502,285,2024-07-19,3399.85,pagamento
503,807,2023-04-29,675.43,ted
504,136,2023-10-29,8936.76,doc
505,274,2023-10-15,746.68,saque
506,177,2024-06-16,2988.69,pagamento
507,277,2024-12-27,883.49,saque
508,44,2024-02-15,4620.41,ted
509,373,2024-12-11,1124.34,saque
510,576,2023-07-08,6138.12,doc
511,137,2025-01-02,1008.79,saque
512,744,2024-11-27,3363.28,doc
513,964,2024-07-25,324.6,saque
514,829,2023-08-27,7734.11,doc
515,869,2023-09-13,3111.28,ted
516,657,2024-08-30,240.24,pagamento
517,219,2023-06-19,4285.04,doc
518,595,2024-09-27,5321.82,ted
519,846,2023-08-12,7267.45,doc
520,706,2023-04-09,487.91,saque
521,613,2025-02-03,1891.32,saque
522,319,2025-01-02,6956.59,ted
523,729,2025-02-10,1668.35,saque
524,514,2024-02-16,7491.97,ted
525,436,2023-04-14,9617.64,doc
526,899,2024-07-09,6443.6,ted
527,617,2024-08-20,1764.95,doc
528,514,2025-02-22,4717.63,pagamento
529,461,2024-09-01,1071.14,saque
530,811,2024-03-20,1579.16,pagamento
531,265,2023-06-25,3586.52,pagamento
532,820,2024-01-05,2285.85,ted
533,503,2024-10-04,2640.7,doc
534,201,2023-05-08,4208.23,ted
535,442,2023-07-14,2642.76,ted
536,69,2023-04-28,1252.96,saque
537,827,2023-04-07,5884.26,doc
538,984,2024-04-10,237.58,pagamento
539,263,2024-08-21,698.63,pagamento
540,86,2024-12-19,6919.96,doc
541,118,2023-03-29,298.14,saque
542,855,2024-11-21,1992.35,saque
543,653,2024-05-30,9105.05,ted
544,424,2025-03-10,7655.42,doc
545,156,2024-12-27,3684.85,doc
546,956,2023-09-13,3425.47,doc
547,950,2024-04-29,1997.57,pagamento
548,340,2024-10-21,1039.98,saque
549,346,2024-06-11,1278.86,saque
550,581,2024-03-22,2287.44,pagamento
551,514,2025-03-12,4061.49,pagamento
552,767,2025-03-10,7165.19,doc
553,478,2024-04-07,864.59,saque
554,506,2024-10-01,2160.95,ted
555,496,2023-04-05,2629.64,ted
556,273,2024-12-02,2688.56,doc
557,368,2025-02-01,4000.95,pagamento
558,310,2024-07-24,1854.28,pagamento
559,741,2025-02-06,6141.62,ted
560,303,2025-01-04,8437.62,doc
561,499,2023-04-03,7618.12,doc
562,41,2025-03-23,4949.08,doc
563,182,2024-06-10,2544.99,pagamento
564,590,2023-10-06,6085.37,ted
565,479,2024-07-28,1458.58,pagamento
566,278,2025-01-02,660.01,pagamento
567,861,2024-05-16,1477.34,saque
568,748,2024-12-25,6920.01,doc
569,583,2024-05-25,291.99,saque
570,956,2024-07-07,2345.21,ted
571,21,2023-09-10,799.46,saque
572,935,2024-01-17,1036.74,pagamento
573,285,2025-02-21,4425.62,doc
574,842,2025-03-19,1478.44,saque
575,97,2023-08-28,3769.63,doc
576,245,2025-03-08,1200.07,doc
577,143,2023-11-13,5192.86,doc
578,858,2023-04-21,8752.46,doc
579,76,2023-04-27,2434.23,ted
580,32,2023-11-12,2844.63,pagamento
581,440,2024-08-13,5076.69,doc
582,352,2023-08-25,2287.63,ted
583,396,2023-10-13,822.44,saque
584,909,2023-08-21,4600.31,pagamento
585,396,2024-06-28,1156.95,doc
586,726,2025-01-13,2305.81,doc
587,311,2023-03-30,777.99,doc
588,34,2023-08-31,5679.15,doc
589,998,2023-06-24,1124.44,saque
590,366,2023-09-24,9456.65,doc
591,583,2024-05-01,9268.51,ted
592,919,2024-09-25,1574.59,saque
593,609,2023-12-04,3365.36,pagamento
594,212,2023-10-03,2570.34,pagamento
595,364,2025-03-04,6094.38,doc
596,805,2024-03-19,5583.51,ted
597,590,2025-03-14,3023.95,doc
598,202,2023-06-19,496.91,saque
599,508,2023-09-07,5588.29,doc
600,669,2023-07-18,4549.54,pagamento
601,590,2023-09-08,1856.83,saque
602,707,2023-07-22,1829.69,saque
603,356,2023-04-29,3453.53,pagamento
604,400,2023-09-25,2790.55,doc
605,311,2024-09-09,9545.65,ted
606,112,2024-07-21,7385.9,ted
607,20,2024-09-05,9230.46,doc
608,197,2023-07-23,1276.67,saque
609,679,2024-01-29,2121.53,pagamento
610,606,2024-10-22,2197.42,pagamento
611,21,2024-01-21,4508.83,ted
612,390,2025-01-25,3659.35,doc
613,863,2024-05-04,8209.81,ted
614,460,2023-11-09,521.55,saque
615,652,2023-12-23,4317.6,doc
616,339,2024-04-30,6269.65,doc
617,709,2024-12-09,2535.63,pagamento
618,579,2023-11-18,3373.91,pagamento
619,122,2024-05-28,1289.48,pagamento
620,743,2024-02-20,7678.31,ted
621,904,2023-06-14,3792.14,doc
622,796,2024-05-10,1294.06,saque
623,748,2024-03-30,1836.81,pagamento
624,153,2023-05-09,3657.2,ted
625,86,2025-03-18,2690.37,pagamento
626,158,2023-09-01,5687.52,ted
627,879,2023-04-18,2115.96,doc
628,203,2024-06-25,4448.61,pagamento
629,72,2024-02-16,2937.78,pagamento
630,643,2025-02-02,5715.26,doc
631,609,2024-09-22,1116.39,saque
632,245,2024-01-29,5877.45,ted
633,458,2024-07-17,8066.14,doc
634,482,2023-05-05,1959.92,doc
635,278,2023-10-21,1029.97,pagamento
636,356,2023-07-04,4697.07,doc
637,599,2024-10-22,1116.64,saque
638,859,2024-09-29,6875.36,ted
639,449,2023-06-16,3859.7,pagamento
640,115,2024-08-18,9910.97,ted
641,710,2024-03-01,1092.24,doc
642,632,2024-10-28,3567.91,pagamento
643,945,2023-12-11,6533.46,ted
644,673,2023-08-18,3504.98,pagamento
645,568,2025-03-20,947.23,pagamento
646,610,2023-06-10,252.01,saque
647,436,2024-09-16,3483.08,doc
648,42,2024-10-07,1309.38,saque
649,10,2023-08-15,9205.47,ted
650,581,2023-12-29,3403.01,pagamento
651,731,2025-03-17,6987.95,doc
652,225,2024-09-24,2695.74,ted
653,945,2024-04-24,1026.92,doc
654,233,2023-08-04,9746.23,ted
655,311,2023-06-30,7088.38,ted
656,938,2024-02-16,983.73,pagamento
657,291,2024-05-08,376.14,pagamento
658,578,2024-12-19,3329.79,pagamento
659,427,2023-12-18,4811.25,ted
660,868,2023-11-23,5625.97,ted
661,307,2024-04-06,1498.47,saque
662,264,2024-11-20,112.02,saque
663,400,2024-06-05,8723.56,ted
664,514,2024-02-20,113.64,pagamento
665,358,2023-03-25,3954.76,ted
666,197,2024-10-04,1005.41,pagamento
667,856,2024-09-11,1518.93,saque
668,545,2024-11-30,1000.57,saque
669,929,2023-08-14,1909.15,pagamento
670,796,2024-06-25,1234.49,ted
671,556,2024-04-06,3839.32,doc
672,650,2024-05-07,592.74,saque
673,34,2023-08-01,9064.9,doc
674,745,2024-01-12,4420.48,pagamento
675,793,2023-11-18,1741.53,saque
676,468,2024-02-11,9312.52,doc
677,510,2025-03-18,1131.65,saque
678,740,2024-05-13,922.08,saque
679,367,2024-02-09,6253.91,doc
680,919,2023-10-03,1225.19,ted
681,794,2024-09-09,1002.44,saque
682,600,2023-06-13,9390.82,ted
683,908,2024-10-05,8637.76,doc
684,199,2024-08-31,1437.38,doc
685,975,2024-06-11,4303.62,ted
686,547,2024-01-29,1633.6,saque
687,474,2024-06-16,5498.67,ted
688,320,2023-03-28,5009.13,doc
689,113,2024-09-03,919.55,saque
690,886,2024-12-15,995.63,saque
691,876,2023-06-04,560.16,saque
692,285,2024-05-22,4469.03,doc
693,325,2024-07-22,263.84,saque
694,265,2024-07-01,393.85,saque
695,10,2023-11-05,267.69,saque
696,58,2024-09-01,740.05,saque
697,223,2024-09-01,3228.79,pagamento
698,874,2023-06-05,2467.58,ted
699,161,2024-11-23,7552.62,doc
700,865,2024-05-15,9027.85,doc
701,738,2024-07-13,3941.34,doc
702,583,2024-11-25,3327.95,pagamento
703,111,2023-09-27,3509.52,doc
704,14,2025-03-12,8004.82,ted
705,189,2023-07-25,1638.9,doc
706,846,2024-09-02,452.98,pagamento
707,392,2023-09-26,2654.2,doc
708,12,2024-10-11,166.29,saque
709,282,2023-07-20,1237.09,ted
710,169,2024-06-26,6648.92,ted
711,765,2024-05-09,1498.61,saque
712,297,2023-11-11,4587.17,ted
713,785,2023-08-14,2183.98,pagamento
714,53,2024-11-23,1378.74,saque
715,958,2024-01-04,7471.67,doc
716,848,2023-12-28,295.14,saque
717,867,2025-01-13,3767.57,pagamento
718,499,2023-10-30,8757.15,doc
719,281,2024-12-02,732.19,saque
720,479,2024-12-16,5083.48,doc
721,551,2023-12-23,8147.39,ted
722,634,2023-04-03,1306.5,ted
